City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Namatanai,PG,85.05,broken clouds,-3.6667,152.4333,Namatanai Hotel
1,Tuy Hoa,VN,79.77,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
2,Bonthe,SL,78.66,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
5,Atuona,PF,80.73,broken clouds,-9.8,-139.0333,Villa Enata
6,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
9,Butaritari,KI,82.29,light rain,3.0707,172.7902,Isles Sunset Lodge
11,Hobart,AU,62.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
14,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
16,Katobu,ID,84.34,overcast clouds,-4.9408,122.5276,La Ode Husein
20,Yenagoa,NG,77.74,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
21,Marawi,PH,79.0,overcast clouds,7.9986,124.2928,Derogongan Residence
27,Djibo,BF,85.82,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
28,Chuy,UY,63.93,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
29,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
30,Arraial Do Cabo,BR,75.2,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
34,Saint-Philippe,RE,75.2,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
37,Sao Joao Da Barra,BR,75.27,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
40,Santa Cruz,BO,71.02,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
41,Voh,NC,84.18,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
42,Amguri,IN,71.44,overcast clouds,26.8,94.5333,কণভাই দোকান
44,Nizwa,OM,78.26,overcast clouds,22.9333,57.5333,Orient Apartments
45,Hermanus,ZA,69.01,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
46,Kapaa,US,75.2,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
50,Rikitea,PF,77.4,scattered clouds,-23.1203,-134.9692,Pension Maro'i
51,Erdemli,TR,70.84,overcast clouds,36.605,34.3084,VERAN HOTEL BEACH CLUB RESTAURANT
54,San Juan,AR,75.13,scattered clouds,-31.5375,-68.5364,Hotel Provincial
56,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
59,Cape Town,ZA,69.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
60,Puerto Narino,CO,78.8,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
66,Nelson Bay,AU,60.01,broken clouds,-32.7167,152.15,Mantra Nelson Bay
67,Hilo,US,80.6,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
68,Sidrolandia,BR,73.4,clear sky,-20.9319,-54.9614,Agropet São Francisco
69,Salur,IN,79.84,clear sky,18.5333,83.2167,Pradeep
