City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Namatanai,PG,-3.6667,152.4333,85.05,69,82,13.8,broken clouds
1,Tuy Hoa,VN,13.0833,109.3,79.77,70,43,4.27,scattered clouds
2,Bonthe,SL,7.5264,-12.505,78.66,83,99,2.17,overcast clouds
3,Tiksi,RU,71.6872,128.8694,7.56,85,100,9.46,overcast clouds
4,Upernavik,GL,72.7868,-56.1549,4.17,88,100,8.12,overcast clouds
5,Atuona,PF,-9.8,-139.0333,80.73,73,64,19.73,broken clouds
6,Vaini,TO,-21.2,-175.2,80.6,69,20,5.75,few clouds
7,Aldan,RU,58.6031,125.3894,24.75,72,100,5.01,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,53.6,54,75,9.22,broken clouds
9,Butaritari,KI,3.0707,172.7902,82.29,77,98,9.04,light rain
10,Zhezkazgan,KZ,47.8043,67.7144,54.99,40,96,6.87,overcast clouds
11,Hobart,AU,-42.8794,147.3294,62.01,55,75,16.11,broken clouds
12,Ushuaia,AR,-54.8,-68.3,53.6,54,40,9.22,scattered clouds
13,Mataura,NZ,-46.1927,168.8643,57.99,76,70,8.01,broken clouds
14,Saint-Georges,GD,12.0564,-61.7485,80.6,78,20,19.57,few clouds
15,Jamestown,US,42.097,-79.2353,42.8,70,75,10.36,broken clouds
16,Katobu,ID,-4.9408,122.5276,84.34,66,95,3.47,overcast clouds
17,Thompson,CA,55.7435,-97.8558,28.4,69,90,13.8,light snow
18,Borovoy,RU,55.4333,86.0833,26.6,68,0,8.95,clear sky
19,Bredasdorp,ZA,-34.5322,20.0403,48.2,93,0,6.91,clear sky
20,Yenagoa,NG,4.9247,6.2642,77.74,91,100,3.09,overcast clouds
21,Marawi,PH,7.9986,124.2928,79.0,88,100,4.0,overcast clouds
22,Port Elizabeth,ZA,-33.918,25.5701,51.8,93,0,3.44,clear sky
23,Barrow,US,71.2906,-156.7887,32.0,74,1,13.8,clear sky
24,Cherskiy,RU,68.75,161.3,27.61,71,100,27.67,overcast clouds
25,Requena,ES,39.4883,-1.1004,46.99,72,1,3.0,clear sky
26,Muros,ES,42.7762,-9.0603,50.0,77,100,6.22,overcast clouds
27,Djibo,BF,14.1022,-1.6306,85.82,33,100,9.62,overcast clouds
28,Chuy,UY,-33.6971,-53.4616,63.93,90,56,5.7,broken clouds
29,Mahebourg,MU,-20.4081,57.7,75.2,94,75,5.75,light rain
30,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,83,40,11.5,scattered clouds
31,Iqaluit,CA,63.7506,-68.5145,14.0,79,40,3.44,scattered clouds
32,Lyubim,RU,58.3625,40.6843,38.03,84,98,5.68,overcast clouds
33,Tuatapere,NZ,-46.1333,167.6833,57.99,76,62,8.01,broken clouds
34,Saint-Philippe,RE,-21.3585,55.7679,75.2,94,90,8.05,overcast clouds
35,Udachnyy,RU,66.4167,112.4,5.45,87,100,18.12,overcast clouds
36,Henties Bay,NA,-22.116,14.2845,77.58,40,78,13.4,broken clouds
37,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.27,82,100,13.33,overcast clouds
38,Severo-Yeniseyskiy,RU,60.3725,93.0408,20.5,79,100,11.25,overcast clouds
39,Coquimbo,CL,-29.9533,-71.3436,59.0,82,75,3.44,broken clouds
40,Santa Cruz,BO,-17.8,-63.1667,71.02,92,13,3.94,few clouds
41,Voh,NC,-20.9667,164.7,84.18,59,45,3.6,scattered clouds
42,Amguri,IN,26.8,94.5333,71.44,71,90,2.89,overcast clouds
43,Longyearbyen,SJ,78.2186,15.6401,32.0,69,75,3.44,broken clouds
44,Nizwa,OM,22.9333,57.5333,78.26,18,100,1.14,overcast clouds
45,Hermanus,ZA,-34.4187,19.2345,69.01,36,0,6.51,clear sky
46,Kapaa,US,22.0752,-159.319,75.2,60,90,13.8,overcast clouds
47,Asheville,US,35.6009,-82.554,57.2,47,90,11.5,overcast clouds
48,Leningradskiy,RU,69.3833,178.4167,34.97,83,100,8.68,overcast clouds
49,Zhangjiakou,CN,40.81,114.8794,52.07,19,0,2.21,clear sky
50,Rikitea,PF,-23.1203,-134.9692,77.4,68,50,5.35,scattered clouds
51,Erdemli,TR,36.605,34.3084,70.84,52,100,4.21,overcast clouds
52,Belaya Gora,RU,68.5333,146.4167,24.58,74,2,15.64,clear sky
53,Yellowknife,CA,62.456,-114.3525,36.0,64,75,6.91,broken clouds
54,San Juan,AR,-31.5375,-68.5364,75.13,50,28,3.51,scattered clouds
55,Verkhnyaya Inta,RU,65.9811,60.3094,3.11,86,15,6.11,few clouds
56,Isangel,VU,-19.55,169.2667,82.4,83,75,3.44,broken clouds
57,Kodiak,US,57.79,-152.4072,42.8,81,90,4.61,light rain
58,Mount Gambier,AU,-37.8333,140.7667,59.0,94,90,6.91,overcast clouds
59,Cape Town,ZA,-33.9258,18.4232,69.01,77,0,4.61,clear sky
60,Puerto Narino,CO,-3.7703,-70.3831,78.8,94,40,1.57,scattered clouds
61,Verkhnevilyuysk,RU,63.4453,120.3167,14.02,83,100,12.53,overcast clouds
62,Fort Nelson,CA,58.8053,-122.7002,42.8,81,90,5.75,light snow
