City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2021-04-16 20:32:18,-42.7826,147.0587,53.01,76,100,3.0
1,Vaini,TO,2021-04-16 20:34:25,-21.2,-175.2,77.0,69,20,4.61
2,Oistins,BB,2021-04-16 20:41:53,13.0667,-59.5333,82.4,57,40,17.27
3,Mount Gambier,AU,2021-04-16 20:32:59,-37.8333,140.7667,50.0,81,90,8.05
4,Zyryanka,RU,2021-04-16 20:41:53,65.75,150.85,6.06,91,75,11.65
5,Port Shepstone,ZA,2021-04-16 20:41:54,-30.7414,30.455,65.86,55,100,4.25
6,Saint-Philippe,RE,2021-04-16 20:37:52,-21.3585,55.7679,78.8,73,0,4.61
7,Ribeira Grande,PT,2021-04-16 20:41:54,38.5167,-28.7,62.6,100,75,16.11
8,Mar Del Plata,AR,2021-04-16 20:41:55,-38.0023,-57.5575,66.2,88,40,6.91
9,Mataura,NZ,2021-04-16 20:41:55,-46.1927,168.8643,43.0,94,95,5.01
10,Vanavara,RU,2021-04-16 20:38:18,60.34,102.2797,12.78,79,93,9.55
11,San Juan,AR,2021-04-16 20:41:55,-31.5375,-68.5364,85.42,26,16,4.7
12,Saint-Louis,SN,2021-04-16 20:41:56,16.3333,-15.0,86.29,21,0,19.1
13,Zalantun,CN,2021-04-16 20:41:56,48.0,122.7167,24.89,85,70,8.3
14,Kaitangata,NZ,2021-04-16 20:33:08,-46.2817,169.8464,46.99,76,48,4.0
15,Port Alfred,ZA,2021-04-16 20:41:57,-33.5906,26.891,62.33,63,5,17.05
16,Karratha,AU,2021-04-16 20:33:08,-20.7377,116.8463,79.92,48,3,10.63
17,Griffith,US,2021-04-16 20:41:57,41.5284,-87.4237,52.0,58,1,8.05
18,Udachnyy,RU,2021-04-16 20:41:58,66.4167,112.4,3.72,91,100,25.55
19,Albany,US,2021-04-16 20:30:07,42.6001,-73.9662,46.0,67,100,1.01
20,Caconda,AO,2021-04-16 20:41:58,-13.7333,15.0667,60.13,81,37,2.48
21,Altoona,US,2021-04-16 20:40:51,40.5187,-78.3947,48.0,68,84,3.0
22,Bengkulu,ID,2021-04-16 20:41:59,-3.8004,102.2655,74.91,90,100,3.36
23,Rutul,RU,2021-04-16 20:41:59,41.5357,47.4239,59.0,63,75,9.22
24,Ushuaia,AR,2021-04-16 20:34:24,-54.8,-68.3,44.6,65,40,33.38
25,East London,ZA,2021-04-16 20:32:31,-33.0153,27.9116,61.48,62,4,10.69
26,Shadegan,IR,2021-04-16 20:41:59,30.6497,48.6647,75.2,31,0,11.5
27,Ahipara,NZ,2021-04-16 20:42:00,-35.1667,173.1667,62.29,78,37,13.87
28,Santa Cruz,BO,2021-04-16 20:40:35,-17.8,-63.1667,84.2,70,40,9.22
29,Khatanga,RU,2021-04-16 20:32:19,71.9667,102.5,7.77,95,100,9.17
30,Champerico,GT,2021-04-16 20:42:00,14.3,-91.9167,95.0,49,40,9.22
31,Bluff,NZ,2021-04-16 20:32:12,-46.6,168.3333,43.0,94,91,4.0
32,Hobart,AU,2021-04-16 20:34:23,-42.8794,147.3294,53.01,58,75,8.05
33,Katsuura,JP,2021-04-16 20:32:51,35.1333,140.3,59.0,83,100,15.55
34,Busselton,AU,2021-04-16 20:32:28,-33.65,115.3333,57.0,86,62,1.01
35,Rikitea,PF,2021-04-16 20:32:22,-23.1203,-134.9692,77.25,70,100,9.62
36,Ballangen,NO,2021-04-16 20:42:01,68.3428,16.8315,41.0,87,90,2.3
37,Provideniya,RU,2021-04-16 20:42:02,64.3833,-173.3,31.35,87,100,7.63
38,Easton,US,2021-04-16 20:42:02,40.6884,-75.2207,46.99,71,90,12.66
39,Port Augusta,AU,2021-04-16 20:42:03,-32.5,137.7667,51.8,100,75,2.3
40,San Cristobal,VE,2021-04-16 20:32:40,7.7669,-72.225,87.8,62,40,10.36
41,Dikson,RU,2021-04-16 20:32:27,73.5069,80.5464,-12.84,100,100,6.11
42,Qasigiannguit,GL,2021-04-16 20:42:03,68.8193,-51.1922,6.8,78,90,17.27
43,Broken Hill,AU,2021-04-16 20:42:03,-31.95,141.4333,44.6,65,0,4.61
44,Sao Gabriel Da Cachoeira,BR,2021-04-16 20:42:04,-0.1303,-67.0892,77.76,91,97,3.29
45,Hermanus,ZA,2021-04-16 20:32:52,-34.4187,19.2345,63.0,69,0,8.01
46,Hilo,US,2021-04-16 20:31:02,19.7297,-155.09,80.6,47,1,5.75
47,Kodiak,US,2021-04-16 20:32:43,57.79,-152.4072,42.8,75,90,11.5
48,La Ronge,CA,2021-04-16 20:37:36,55.1001,-105.2842,50.0,34,16,6.91
49,Avarua,CK,2021-04-16 20:32:22,-21.2078,-159.775,82.4,69,8,3.44
50,Ostersund,SE,2021-04-16 20:42:05,63.1792,14.6357,41.0,60,100,5.75
51,Broome,US,2021-04-16 20:42:06,42.2506,-75.833,42.01,93,90,11.5
52,Puerto Narino,CO,2021-04-16 20:42:06,-3.7703,-70.3831,91.4,52,40,4.61
53,Sobolevo,RU,2021-04-16 20:42:06,54.4299,31.8996,47.71,90,91,6.73
54,The Valley,AI,2021-04-16 20:42:07,18.217,-63.0578,82.0,88,56,4.0
55,Atuona,PF,2021-04-16 20:32:28,-9.8,-139.0333,80.24,78,89,17.05
56,Punta Arenas,CL,2021-04-16 20:33:12,-53.15,-70.9167,50.0,53,20,20.71
57,Faya,SA,2021-04-16 20:39:33,18.3851,42.4509,68.0,24,0,4.61
58,Misratah,LY,2021-04-16 20:42:07,32.3754,15.0925,70.0,57,100,20.09
59,Sur,OM,2021-04-16 20:32:57,22.5667,59.5289,84.6,46,7,9.93
60,San Antonio,US,2021-04-16 20:39:30,29.4241,-98.4936,73.0,88,90,4.61
61,Nikolskoye,RU,2021-04-16 20:32:53,59.7035,30.7861,48.2,34,0,13.42
62,Ponta Do Sol,PT,2021-04-16 20:33:19,32.6667,-17.1,61.0,61,14,3.0
63,Yellowknife,CA,2021-04-16 20:31:57,62.456,-114.3525,46.4,46,20,10.36
64,Sitka,US,2021-04-16 20:33:17,57.0531,-135.33,48.2,76,40,4.61
65,Abu Kamal,SY,2021-04-16 20:42:09,34.4506,40.9171,75.07,20,100,7.63
66,Yinchuan,CN,2021-04-16 20:42:09,38.4681,106.2731,41.95,22,0,4.97
67,Granadilla De Abona,ES,2021-04-16 20:42:09,28.1188,-16.576,69.01,64,20,10.36
68,Aron,IN,2021-04-16 20:42:10,24.3833,77.4167,84.45,23,59,8.59
69,Kapaa,US,2021-04-16 20:30:52,22.0752,-159.319,73.4,78,1,8.05
70,Santa Quiteria Do Maranhao,BR,2021-04-16 20:42:10,-3.5156,-42.5467,76.84,90,100,2.24
